""	"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030055"	"CC"	"GO:0030055"	"cell-substrate junction"	"178/4763"	"432/19869"	9.68165765514009e-16	3.88041526499281e-13	2.98068882374982e-13	"6146/54751/1969/3339/6548/2275/3716/91624/8412/1266/58497/8394/23385/4921/117143/9019/55827/10092/83872/1465/824/375/6201/6868/8462/30845/2274/3987/390/1803/2191/3655/3676/7145/79853/10015/8994/2317/90102/57514/3693/4311/4026/2580/118/51056/950/171024/308/23022/8470/2195/1601/3672/55914/1495/5159/309/10146/79969/10211/5754/667/2697/2037/9590/7430/3482/64759/1956/3984/3315/7532/5782/10095/7205/26136/857/2318/7791/6522/4267/1756/57477/3897/2316/157285/10395/10174/8754/6386/6156/7534/6641/5747/5339/301/81873/3309/2022/56623/6181/7106/391/3611/55742/6207/960/55626/4162/6251/7431/54518/6840/9124/1308/928/3845/8496/29843/23371/3678/4035/23011/3936/1948/8874/4323/84962/6235/382/10979/23224/87/23768/51466/79038/11261/567/83660/22801/6176/1464/79834/3603/9351/527/79798/7041/6645/1012/1535/23164/6143/3690/3675/9902/3909/1000/55612/7052/682/1265/7089/23396/1785/976/84964/5329/5817/23521/6205/6237/5297/4627/11135/11078/6122"	178
"GO:0005765"	"CC"	"GO:0005765"	"lysosomal membrane"	"173/4763"	"418/19869"	1.49822983204356e-15	3.88041526499281e-13	2.98068882374982e-13	"23207/54896/1889/7805/533/57535/6272/2773/10542/128338/23557/2629/28956/84283/112770/23385/127829/9725/5664/7107/9741/51374/1803/79901/55686/130340/55207/54918/10641/57406/25978/523/7879/55/11342/5337/1173/10396/950/10855/64116/4126/2028/201931/1601/153129/100506658/4012/96459/972/309/206358/8992/3134/10211/4758/3127/3123/3117/3108/3111/3113/3115/7942/26503/28962/8763/5167/8876/221955/54468/54664/223082/154664/2770/25851/1174/50617/155066/1183/3920/286410/6845/23516/91782/9583/51606/4067/5862/245972/55529/55353/528/51510/23230/2776/2040/6836/20/10581/8519/10410/56674/53/220002/9066/374395/6520/56834/91056/64837/219931/4647/5547/26985/55361/119032/719/4074/4257/4891/4035/92979/144577/11010/10970/5025/1203/23250/10548/4948/57617/7782/84888/302/290/58986/84219/1186/21/527/23274/9516/164/8140/83547/9842/23531/1534/2548/201475/8774/57132/81929/29919/4864/220441/8904/5476/8943/126321/80700/51257/57153/684/79036/23646/11133/2357/529/89781/162/1291"	173
"GO:0098852"	"CC"	"GO:0098852"	"lytic vacuole membrane"	"173/4763"	"418/19869"	1.49822983204356e-15	3.88041526499281e-13	2.98068882374982e-13	"23207/54896/1889/7805/533/57535/6272/2773/10542/128338/23557/2629/28956/84283/112770/23385/127829/9725/5664/7107/9741/51374/1803/79901/55686/130340/55207/54918/10641/57406/25978/523/7879/55/11342/5337/1173/10396/950/10855/64116/4126/2028/201931/1601/153129/100506658/4012/96459/972/309/206358/8992/3134/10211/4758/3127/3123/3117/3108/3111/3113/3115/7942/26503/28962/8763/5167/8876/221955/54468/54664/223082/154664/2770/25851/1174/50617/155066/1183/3920/286410/6845/23516/91782/9583/51606/4067/5862/245972/55529/55353/528/51510/23230/2776/2040/6836/20/10581/8519/10410/56674/53/220002/9066/374395/6520/56834/91056/64837/219931/4647/5547/26985/55361/119032/719/4074/4257/4891/4035/92979/144577/11010/10970/5025/1203/23250/10548/4948/57617/7782/84888/302/290/58986/84219/1186/21/527/23274/9516/164/8140/83547/9842/23531/1534/2548/201475/8774/57132/81929/29919/4864/220441/8904/5476/8943/126321/80700/51257/57153/684/79036/23646/11133/2357/529/89781/162/1291"	173
"GO:0005925"	"CC"	"GO:0005925"	"focal adhesion"	"173/4763"	"422/19869"	4.30714484696265e-15	8.36662886522494e-13	6.42671349533637e-13	"6146/54751/1969/3339/6548/2275/3716/91624/8412/1266/58497/8394/23385/4921/117143/9019/55827/10092/1465/824/375/6201/6868/8462/30845/2274/3987/390/1803/2191/3655/3676/7145/79853/10015/8994/2317/90102/57514/3693/4311/4026/2580/118/51056/950/171024/308/23022/8470/2195/1601/3672/1495/5159/309/10146/79969/10211/5754/667/2697/2037/9590/7430/3482/64759/1956/3984/3315/7532/5782/10095/7205/26136/857/2318/7791/6522/4267/57477/3897/2316/157285/10395/10174/8754/6386/6156/7534/6641/5747/5339/301/81873/3309/2022/56623/6181/7106/391/3611/55742/6207/960/55626/4162/6251/7431/54518/6840/9124/928/3845/8496/29843/23371/3678/4035/23011/3936/1948/8874/4323/84962/6235/382/10979/23224/87/23768/51466/79038/11261/567/83660/22801/6176/1464/79834/3603/9351/527/79798/7041/6645/1012/1535/23164/6143/3690/3675/9902/1000/55612/7052/682/1265/7089/23396/1785/976/84964/5329/5817/23521/6205/6237/5297/4627/11135/11078/6122"	173
"GO:0005774"	"CC"	"GO:0005774"	"vacuolar membrane"	"185/4763"	"461/19869"	5.62143244585962e-15	8.73570602086585e-13	6.71021515116296e-13	"23207/54896/1889/7805/533/57535/6272/2773/10542/128338/23557/2629/28956/84283/112770/23385/127829/9725/5664/7107/9741/51374/1803/79901/55686/130340/55207/54918/10641/57406/25978/523/7879/55/11342/5337/1173/10396/950/10855/23001/64116/4126/2028/201931/1601/153129/100506658/4012/96459/972/309/206358/8992/3134/10211/4758/3127/3123/3117/3108/3111/3113/3115/7942/26503/28962/8763/5167/8876/221955/54468/54664/223082/154664/2770/25851/1174/50617/155066/1183/3920/286410/6845/23516/91782/9583/9821/51606/4067/5862/245972/55529/55353/528/51510/23230/2776/2040/6836/20/10581/8519/10410/56674/53/220002/9066/374395/6520/56834/91056/64837/219931/7405/4647/5547/26985/55361/119032/719/4074/23710/4257/4891/4035/92979/144577/11010/10970/5025/1203/23250/51310/10548/5587/22863/4948/57617/7782/84888/302/290/58986/84219/1186/21/527/23274/9516/164/11345/81631/8140/83547/9842/10241/23531/1534/55062/2548/201475/8774/57132/81929/29919/4864/220441/7056/8904/5476/8943/126321/80700/51257/57153/684/79036/23646/11133/2357/529/89781/162/1291"	185
"GO:0010506"	"BP"	"GO:0010506"	"regulation of autophagy"	"142/4576"	"344/18903"	1.42117005015444e-12	7.0897707654167e-09	5.57807255600278e-09	"65018/83667/80149/64121/10269/9682/533/5563/3953/57535/2773/128338/26191/9554/4170/10456/2629/56893/3428/22926/27/149371/7107/92196/23677/3708/79443/10641/523/55254/5291/5290/3064/57533/7345/836/291/205860/339976/5562/112574/9140/7416/8992/10919/7942/58528/9474/5071/3315/3082/25851/155066/1020/10013/11040/11152/29978/4105/116442/66036/665/9821/51606/245972/8767/94241/528/340371/203228/25853/29979/10558/9830/90678/2021/26086/117854/85363/10346/5286/258010/55626/9776/572/56834/10524/219931/7405/143686/5049/9638/10133/51322/219771/11067/5599/55847/9559/81603/9531/664/10059/120892/1634/84749/2308/10206/5587/23256/58533/22863/3091/9517/207/90427/84219/527/23274/2072/1459/9100/8140/7157/140775/6774/4137/10241/55062/23255/29919/4864/220441/596/27131/58476/5476/5566/22933/529/84861/706"	142
"GO:0022411"	"BP"	"GO:0022411"	"cellular component disassembly"	"185/4576"	"483/18903"	2.2011085890769e-12	7.0897707654167e-09	5.57807255600278e-09	"1676/832/65018/3925/10269/5563/9829/829/128077/1520/1513/23557/10456/57326/8751/2629/56893/10763/51506/9507/4921/3915/23271/25802/8444/149371/119/822/344148/1803/2191/2043/10533/9922/79443/327/25978/64422/55254/56648/5290/4241/2580/118/3064/9948/132671/57482/291/9037/54463/5562/53918/3796/5295/84340/2150/324/9140/7416/8878/10211/7124/26235/9474/51534/5071/2852/26100/6624/3569/54543/25851/51024/136319/1020/6604/10013/11152/23708/3920/65991/91782/665/81551/6591/9821/444/79752/4609/3297/51510/347240/7415/29979/1515/7111/7046/10783/2021/157922/57104/23075/9645/7251/55626/9776/10524/7405/4319/4312/4314/4321/6588/10133/6840/22943/120/664/101/23710/10059/4035/317/84749/488/51569/3936/11198/4323/22985/1073/382/22863/3091/3306/6710/7043/23405/55102/146057/4130/29767/29766/50810/5045/23274/4313/55239/10300/1459/146206/11345/81631/5048/7157/140775/162427/1659/1845/10241/5578/55062/57132/57724/9525/10297/6455/718/3643/55337/11140/6597/7040/162989/57553/4320/6598/24144/84164/11078/27341/706/11096/8867"	185
"GO:0016236"	"BP"	"GO:0016236"	"macroautophagy"	"132/4576"	"317/18903"	4.16751963068785e-12	8.94905382029705e-09	7.0409147444779e-09	"65018/23673/83667/533/5563/57535/2773/9554/128077/23557/2629/56893/51506/149371/3964/5861/10254/55207/10533/5868/79443/25978/64422/523/55254/141/7879/339122/5290/3064/57533/7345/23001/171024/836/291/54463/112574/9140/7416/8992/8878/10919/9474/51534/5071/26100/54543/25851/57154/9179/155066/1020/10013/11152/29978/3920/137492/91782/665/9821/51606/245972/8767/94241/528/340371/203228/51510/7415/29979/10558/90678/26086/440026/7251/55626/9776/81876/7405/143686/5049/9638/10133/8027/51322/5599/9559/23232/143187/9531/664/23710/120892/1634/84749/488/51569/10206/23256/58533/22863/3091/9517/55102/207/23241/84219/527/23274/11345/81631/7157/140775/90410/162427/4077/9842/10241/55062/2548/57132/4864/22878/57724/9525/27131/58476/80700/11140/5566/529"	132
"GO:0005802"	"CC"	"GO:0005802"	"trans-Golgi network"	"110/4763"	"262/19869"	7.60856199390772e-11	9.8530877821105e-09	7.56851693078189e-09	"9341/54432/8613/79971/57535/55204/5872/57198/2629/10067/84283/8674/27252/10228/23057/8934/338382/163882/10618/9648/4430/57574/130340/55773/339122/27032/4311/51056/55300/10396/64083/5122/5066/7045/81555/972/1212/63971/3127/3123/3117/3113/3115/10981/51429/3482/2852/54103/9179/1174/8985/9367/84679/286451/538/4952/286410/2316/6845/10565/157769/6482/83696/5125/23258/5286/8534/738/116985/5870/23682/9159/23621/9712/10133/221079/3363/55361/143187/4074/120892/92979/8549/23011/400/23250/5587/11154/122553/79895/23431/10066/192683/5045/23062/164/3996/55062/11031/10079/54760/113178/56927/1785/8218/162/26088/25776/9980/25825"	110
"GO:0043161"	"BP"	"GO:0043161"	"proteasome-mediated ubiquitin-dependent protein catabolic process"	"168/4576"	"450/18903"	2.35268087987494e-10	3.7889925570386e-07	2.98109432542049e-07	"118424/10277/127544/5690/5710/5692/2629/56893/27252/64326/51514/80232/9781/28951/150684/57162/7844/64795/23190/339745/10213/54431/7341/55139/5707/10425/9861/26043/10296/6047/7466/26234/29945/7345/23321/57630/10299/23194/6502/1601/1161/54557/6880/324/7320/202052/153769/81545/23197/821/255488/3077/23607/2729/26235/57531/4121/5071/5689/90637/54476/223082/5683/23072/57154/222235/4189/857/6907/80311/29978/6451/7319/10134/7993/11160/6386/55284/11059/25897/10221/90865/10210/25853/7415/29979/246184/5695/3309/11253/5719/5682/258010/84447/10524/55298/51322/8945/8078/196394/120892/7480/4193/26259/10206/26224/5693/80344/25831/122773/23588/9147/114088/5706/6815/5684/9870/6400/51676/122416/9529/207/9112/197131/4130/8554/5371/5685/55829/146330/90864/51283/9683/267/5713/84937/7326/79018/7126/5717/5691/5709/79089/5705/64750/8313/5718/55666/1453/23327/9491/55741/11047/54994/10297/6449/5886/79016/5714/22933/126433/55101/7353/84861/84164/80020/79734/27351"	168
