""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.3"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa04142"	"hsa04142"	"Lysosome"	"66/2208"	"132/8464"	2.78229521108499e-09	9.29286600502386e-07	6.79465777864965e-07	"7805/5538/533/6272/1520/1513/2629/9741/130340/950/4126/1519/175/2760/1212/4758/26503/8763/135112/3482/2990/9179/1174/50617/2717/3920/1508/427/9583/10947/51606/245972/55353/1515/20/6609/1200/53/8722/26985/3988/4074/4891/1203/8906/11154/10577/23431/23312/8120/527/9516/23062/164/22901/2548/6448/4864/5476/8943/54/4125/8218/162/26088/4668"	66
"hsa03050"	"hsa03050"	"Proteasome"	"29/2208"	"46/8464"	1.39505270062625e-07	2.32973801004584e-05	1.703432771291e-05	"5690/5710/5692/10213/5707/9861/5696/5698/5689/5683/5695/5719/5682/51371/5693/5720/5721/5706/5684/5685/5713/5717/5691/5709/5705/5718/9491/11047/5714"	29
"hsa04360"	"hsa04360"	"Axon guidance"	"79/2208"	"182/8464"	2.34700466858033e-07	2.61299853101944e-05	1.91054415126539e-05	"5293/1969/2048/22854/2773/9860/4893/10500/1944/64218/5362/5534/10505/54910/659/2043/25791/9901/5894/5364/7869/7474/6091/2042/91653/5361/2047/5291/7220/5290/9353/2044/658/5530/817/9037/5295/5921/1946/57556/6586/2534/3984/2770/10371/64101/1020/5365/3897/7976/137970/5747/5727/3611/64221/56288/219699/818/3983/81029/3845/57522/1948/4776/1073/80031/4756/8482/10509/9423/5578/1630/10398/84612/4773/655/10501/6237/23654"	79
"NA.5"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05146"	"hsa05146"	"Amoebiasis"	"49/2208"	"102/8464"	1.39930309463622e-06	0.000116841808402125	8.54311363041063e-05	"5293/5052/3915/338382/3914/7850/3554/3553/2335/5868/3913/7879/5291/3592/5290/3576/2919/2921/2920/836/5295/1437/7124/3910/3908/3569/3315/1278/3912/1288/5747/2776/7099/5331/1284/384/87/7043/1277/5578/3909/6318/6317/5332/2778/3911/2769/5566/7040"	49
"NA.6"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05165"	"hsa05165"	"Human papillomavirus infection"	"124/2208"	"331/8464"	2.30302110172637e-06	0.000153841809595321	0.000112484399073793	"5293/23352/3065/533/3716/4893/4853/8515/148327/7059/3915/5743/3914/5525/10000/5610/3655/3676/2335/1293/10474/5894/3913/7474/9223/523/3693/256076/5523/5291/5290/3280/1739/3516/6696/55534/836/5734/3672/5295/324/6932/5515/5159/8992/9794/3134/3105/3133/3107/3106/7124/4855/1026/896/3910/3908/9519/7058/1956/1021/1278/3912/50617/155066/1288/10134/7976/51606/23462/245972/9134/528/5747/90993/572/84441/5519/56288/8325/6934/55844/81029/3845/7480/3678/3679/6773/4193/2308/1284/55012/6655/5529/207/22801/527/1856/7157/84667/3996/27175/3690/3675/1277/8313/9368/2885/3909/182/1869/84612/2778/3911/10297/7297/5566/4854/898/529/3454/4600/1291/1292"	124
"hsa05017"	"hsa05017"	"Spinocerebellar ataxia"	"61/2208"	"143/8464"	1.06882856630679e-05	0.000594981235244111	0.000435031977865218	"5293/5690/5710/5692/10000/10213/5707/3708/9861/5291/5290/3516/291/5295/7416/9519/2911/5689/26100/5683/2892/9821/2776/5695/5719/5682/55626/9776/5331/10524/5599/29982/10105/3709/488/5693/5706/22863/5684/55102/207/5685/146227/342371/5713/489/5717/5691/5709/5705/5578/5718/55062/10528/5332/11047/773/5714/23152/3748/25814"	61
"NA.7"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.8"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05220"	"hsa05220"	"Chronic myeloid leukemia"	"37/2208"	"76/8464"	1.8397577087017e-05	0.000877827249580523	0.000641840283336531	"5293/1870/3065/4893/6464/10000/5894/7048/5291/5290/1487/5295/1871/1026/1021/4609/53358/7046/1643/572/9846/1488/3845/4193/4792/6655/7043/207/1398/7157/2885/1869/25759/7040/1399/613/861"	37
"hsa05132"	"hsa05132"	"Salmonella infection"	"94/2208"	"249/8464"	2.71316474812873e-05	0.00113274628234374	0.000828229238902454	"5293/23207/3725/6281/10092/127829/338382/64746/375/10000/114548/9648/3553/7277/55207/55845/5894/5868/51143/79443/2317/3836/7879/5291/26084/5290/399/3576/51176/836/112574/6932/7280/7124/1432/89953/51429/6993/3569/9844/1780/10095/8976/2318/5420/9367/6990/2316/8795/10671/23643/8767/4609/11258/7295/7099/81873/391/5286/64837/79659/837/10006/5599/6934/4074/7846/3071/8655/10810/4792/382/10640/55860/3320/207/113146/57617/302/1783/29109/197259/10381/83547/5606/9842/140735/596/83658/10398/1785/6237/27128/10454"	94
"hsa04919"	"hsa04919"	"Thyroid hormone signaling pathway"	"52/2208"	"121/8464"	3.67810456125786e-05	0.00136498547051125	0.00099803538972143	"5293/6548/3065/6513/4893/4853/477/5208/10000/5894/8850/7068/5333/5291/116931/5290/5295/4855/9282/9968/6567/90390/4609/5331/572/51196/3845/5213/4193/488/23389/2308/9882/3091/1734/207/25942/489/7157/9611/113026/3690/9969/5578/5332/8202/10025/5566/4854/478/1827/5211"	52
"NA.9"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.10"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa04510"	"hsa04510"	"Focal adhesion"	"78/2208"	"203/8464"	6.47210569416331e-05	0.00216168330185055	0.00158055633794304	"5293/3725/5906/8515/8394/6464/7059/3915/3914/824/10000/3655/3676/2335/1293/5894/3913/2317/4638/3693/256076/5291/5290/6696/56034/3672/5295/5159/896/2534/3910/3908/7058/5154/1956/3082/1278/3912/857/2318/7791/2002/1288/2316/5747/53358/3611/55742/572/5599/3678/3679/1284/394/6655/87/5228/207/83660/22801/1398/3690/3675/1277/5578/2885/3909/596/85366/10398/3911/25759/23396/2909/54776/1399/1291/1292"	78
"NA.11"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa04137"	"hsa04137"	"Mitophagy - animal"	"34/2208"	"72/8464"	8.69723299376459e-05	0.00264079619992488	0.00193086895172573	"65018/3725/4893/338382/7879/22808/8878/7942/9474/10370/5071/54543/51024/665/55626/10133/5599/664/23710/3845/64786/84749/7316/3091/9101/1459/11345/81631/7157/4077/10241/1869/6237/23786"	34
"NA.12"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.13"	NA	NA	NA	NA	NA	NA	NA	NA	NA
