""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-449147"	"R-HSA-449147"	"Signaling by Interleukins"	"119/1540"	"473/10899"	5.71223490036838e-11	8.62547469955625e-08	6.98095233613441e-08	"PIK3CD/RPS6KA1/PSMB2/JAK1/PTGS2/IL24/ARF1/PELI1/IL1R2/IL1R1/IL1A/IL1B/IL36G/IL36B/IL36RN/IL1F10/IL1RN/PSMD14/CCL20/PSMD1/IRAK2/CCR1/PSMD6/PIK3CB/IL12A/PIK3CA/TNIP2/CXCL8/CXCL2/FGF2/CASP3/OSMR/IL31RA/IL6ST/PIK3R1/CSF2/PPP2CA/CANX/SQSTM1/H3C8/H3C10/MAPK14/CDKN1A/FYN/SOD2/TCP1/RPS6KA2/PSMB1/IL6/PSMA2/PTPN12/RPS6KA3/TIMP1/ELK1/IL13RA2/IL13RA1/VAMP7/CEBPD/LYN/RIPK2/YWHAZ/IL33/ANXA1/PSMD5/PSMB7/LCN2/PSMD13/TALDO1/TOLLIP/PSMA1/STX3/CLCF1/AIP/GAB2/MMP1/MMP3/PPP2R1B/IL15RA/MAP3K8/MAPK8/BTRC/NFKB2/GSTO1/PDCD4/STAT2/UBE2N/UBC/LCP1/IRS2/NFKBIA/PELI2/RPS6KA5/PTPN9/PSMA4/IL4R/PSMD7/CRK/MAP2K3/PSMD11/CCL3/CCL4/PSMD3/CSF3/MAP3K3/PSMC5/PSMD12/GRB2/SOCS3/PTPN2/BCL2/SERPINB2/LBP/PSMD8/NFKBIB/FPR1/IL11/CRKL/LIF/OSM"	119
"R-HSA-453279"	"R-HSA-453279"	"Mitotic G1 phase and G1/S transition"	"51/1540"	"149/10899"	3.98239059804562e-10	3.00670490152445e-07	2.43345025491104e-07	"E2F2/RPA2/HDAC1/RBBP4/PSMB2/ORC1/RRM2/MCM6/ORC4/PSMD14/PSMD1/CDC25A/PSMD6/MCM2/TFDP2/SKP2/CCNH/PPP2CA/E2F3/CDKN1A/CCND3/MCM3/PSMB1/PSMA2/CDK6/MCM7/POLA1/MCM4/LYN/CCNE2/PSMD5/PSMB7/PSMD13/PSMA1/PPP2R1B/PRIM1/UBC/TFDP1/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/PCNA/E2F1/CDKN2D/CCNE1/PSMD8"	51
"R-HSA-69206"	"R-HSA-69206"	"G1/S Transition"	"45/1540"	"131/10899"	3.75139222756521e-09	1.88820075454115e-06	1.52819872849235e-06	"RPA2/HDAC1/RBBP4/PSMB2/ORC1/RRM2/MCM6/ORC4/PSMD14/PSMD1/CDC25A/PSMD6/MCM2/TFDP2/SKP2/CCNH/PPP2CA/CDKN1A/MCM3/PSMB1/PSMA2/MCM7/POLA1/MCM4/CCNE2/PSMD5/PSMB7/PSMD13/PSMA1/PPP2R1B/PRIM1/UBC/TFDP1/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/PCNA/E2F1/CCNE1/PSMD8"	45
"R-HSA-9755511"	"R-HSA-9755511"	"KEAP1-NFE2L2 pathway"	"37/1540"	"102/10899"	1.74010122007177e-08	6.56888210577093e-06	5.31646714869296e-06	"PGD/SESN2/PSMB2/PRDX1/GCLM/PSMD14/PSMD1/PSMD6/UBXN7/SKP2/SQSTM1/GCLC/PSMB1/MAFK/PSMA2/GSR/VCP/PSMD5/PSMB7/PSMD13/TALDO1/PSMA1/BTRC/TXNRD1/UBC/PSMA4/CSNK2A2/PSMD7/MAP1LC3B/PSMD11/PSMD3/PSMC5/PSMD12/NPLOC4/MAFG/PSMD8/UFD1"	37
"R-HSA-69242"	"R-HSA-69242"	"S Phase"	"50/1540"	"163/10899"	3.75158844064343e-08	1.13297970907432e-05	9.16967195702532e-06	"RPA2/RBBP4/PSMB2/ORC1/MCM6/ORC4/PSMD14/PSMD1/UBE2E1/CDC25A/PSMD6/MCM2/TFDP2/SKP2/CCNH/CDKN1A/MCM3/PSMB1/PSMA2/MCM7/POLA1/STAG2/ESCO2/MCM4/CCNE2/CDC26/PSMD5/PSMB7/PSMD13/PSMA1/CDCA5/POLD3/UBE2D1/WAPL/PRIM1/UBC/RFC3/TFDP1/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/PCNA/E2F1/CCNE1/PSMD8"	50
"R-HSA-5357801"	"R-HSA-5357801"	"Programmed Cell Death"	"59/1540"	"210/10899"	7.92003173691816e-08	1.91326939727637e-05	1.54848781473536e-05	"PSMB2/CLSPN/PELI1/PPP3R1/IL1A/IL1B/PSMD14/CFLAR/PSMD1/SATB1/PDCD6IP/PSMD6/CHMP2B/KPNA1/TFDP2/ADD1/CASP3/OCLN/APC/H1-2/PSMB1/PSMA2/YWHAG/STK26/BCAP31/TNFRSF10B/CHMP7/SDCBP/LY96/YWHAZ/PTK2/TLR4/PSMD5/PSMB7/PSMD13/PSMA1/APIP/CASP4/MAPK8/UNC5B/DNM1L/APAF1/UBC/TFDP1/TJP1/BMF/PSMA4/PSMD7/MLKL/PSMD11/PSMD3/NMT1/DYNLL2/PSMC5/PSMD12/BCL2/E2F1/CDC37/PSMD8"	59
"R-HSA-69481"	"R-HSA-69481"	"G2/M Checkpoints"	"50/1540"	"167/10899"	8.8694607820759e-08	1.91326939727637e-05	1.54848781473536e-05	"RPA2/PSMB2/CLSPN/ORC1/MCM6/ORC4/PSMD14/PSMD1/CDC25A/PSMD6/MCM2/RNF168/NSD2/RAD17/H2BC4/H2BC5/H4C8/H2BC11/H2BC12/MCM3/PSMB1/PSMA2/YWHAG/MCM7/MCM4/UBE2V2/YWHAZ/RMI1/PSMD5/PSMB7/PSMD13/PSMA1/KAT5/H2AX/UBE2N/RAD9B/UBC/RFC3/PSMA4/BLM/PKMYT1/ORC6/PSMD7/PSMD11/PSMD3/CDC6/BRCA1/PSMC5/PSMD12/PSMD8"	50
"R-HSA-68949"	"R-HSA-68949"	"Orc1 removal from chromatin"	"28/1540"	"71/10899"	1.23205788844561e-07	2.31040531142946e-05	1.86990628551384e-05	"PSMB2/ORC1/MCM6/ORC4/PSMD14/PSMD1/PSMD6/MCM2/SKP2/MCM3/PSMB1/PSMA2/MCM7/MCM4/PSMD5/PSMB7/PSMD13/PSMA1/UBC/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/PSMD8"	28
"R-HSA-69052"	"R-HSA-69052"	"Switching of origins to a post-replicative state"	"33/1540"	"92/10899"	1.39148705185832e-07	2.31040531142946e-05	1.86990628551384e-05	"PSMB2/ORC1/MCM6/ORC4/PSMD14/PSMD1/UBE2E1/PSMD6/MCM2/SKP2/MCM3/PSMB1/PSMA2/MCM7/MCM4/CCNE2/CDC26/PSMD5/PSMB7/PSMD13/PSMA1/UBE2D1/UBC/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/CCNE1/PSMD8"	33
"R-HSA-432722"	"R-HSA-432722"	"Golgi Associated Vesicle Biogenesis"	"24/1540"	"56/10899"	1.53006974266852e-07	2.31040531142946e-05	1.86990628551384e-05	"DNAJC6/ACBD3/ARF1/TGOLN2/AP1S3/GOLGB1/GAK/BLOC1S4/SNX9/IGF2R/AP1S1/YIPF6/OCRL/VAMP7/TPD52/PIK3C2A/FTH1/NECAP1/BLOC1S6/AP4E1/AP1G1/CPD/DNM2/FTL"	24
