""	"RAG_F11_0006_P01_V11"	"RAG_F11_0008_P01_V11"	"RAG_F11_0010_P01_V11"	"RAG_F31_0005_P01_V11"	"RAG_F31_0007_P01_V11"	"RAG_F31_0009_P01_V11"
"ENSG00000223972"	0	0	0	0	0	0
"ENSG00000227232"	3.68658761310527	3.67348675339484	3.65222207994304	3.54074081490826	3.37140008672856	3.35116592827478
"ENSG00000278267"	1.98875531591494	0	1.63418732925986	0.97604726596384	2.17179060113426	0.94146158641851
"ENSG00000243485"	0	0	0	0	0	0
"ENSG00000284332"	0	0	0	0	0	0
"ENSG00000237613"	0	0	0	0	0	0
"ENSG00000268020"	0	0	0	0	0	0
"ENSG00000240361"	0	0	0	0	0	0
"ENSG00000186092"	0	0	0	0	0	0
"ENSG00000238009"	0	0	0	0	0	0
"ENSG00000239945"	0	0	0	0	0	0
"ENSG00000233750"	0	0	0	0	0	0
"ENSG00000268903"	0.992513290532936	0.929463787163043	0	2.54481745056552	1.11676904334457	1.50637128137546
"ENSG00000269981"	0	0	1.63418732925986	1.55293632563386	1.11676904334457	1.50637128137546
"ENSG00000239906"	0	0	0	0	0	0
"ENSG00000241860"	0	0.929463787163043	1.03707518230225	0	0	0
"ENSG00000222623"	0	0	0	0	0	0
"ENSG00000241599"	0	0	0	0	0	0
"ENSG00000279928"	0	0	0	0	0	0
"ENSG00000279457"	4.15575066553443	4.1112169585887	4.23917459588978	4.41335310169552	3.79230188680677	3.4757595760536
"ENSG00000273874"	0	0	0	0	0	0
"ENSG00000228463"	0.992513290532936	0.929463787163043	0	1.55293632563386	1.11676904334457	0
"ENSG00000286448"	0	0	0	1.55293632563386	1.11676904334457	0
"ENSG00000236679"	0	0	1.03707518230225	0.97604726596384	0	0
"ENSG00000236601"	0	0	0	0	0	0
"ENSG00000237094"	2.57246297997025	2.46541031310628	1.63418732925986	3.12706347451497	2.50447560628675	3.35116592827478
"ENSG00000269732"	0	0	0	0	0	0
"ENSG00000284733"	0	0	0	0	0	0
"ENSG00000233653"	0	0	0	0	0	0
"ENSG00000250575"	0	0	0	0	0	0
"ENSG00000278757"	0	0	0	0	0	0
"ENSG00000230021"	1.57497156281037	0.929463787163043	1.63418732925986	0.97604726596384	1.73864474241279	0.94146158641851
"ENSG00000235146"	0	0	0	0	0	0
"ENSG00000225972"	0.992513290532936	0	1.63418732925986	0	1.11676904334457	2.22709149995978
"ENSG00000225630"	8.25182306298402	8.31106162792881	8.31138972372032	8.45961972693781	8.51414427420759	8.62892980675467
"ENSG00000237973"	5.50887750764057	5.9019992483549	5.77228750523886	6.12229729755702	6.3510969381557	6.01150968962835
"ENSG00000278791"	0	0	0	0	0	0
"ENSG00000229344"	2.30993063978318	1.89285881304944	2.05526149652479	1.96392009856866	1.11676904334457	1.91127687805063
"ENSG00000240409"	0	0	0	0	1.11676904334457	0
"ENSG00000248527"	11.0954776619954	11.3547010486661	11.4024294028186	11.1065297826789	11.3597659958578	11.478074371972
"ENSG00000198744"	3.30842391837414	2.68423703513996	3.5261479896948	2.76604629382972	2.7746369842187	1.91127687805063
"ENSG00000268663"	0	0	0	0	0	0
"ENSG00000284662"	0	0	0	0	0	0
"ENSG00000229376"	0	0	0	0	0	0
"ENSG00000228327"	5.30729284374984	5.44343078943852	5.39336354029514	5.59652853836527	5.46722997964583	5.4376855741526
"ENSG00000223181"	0	0	0	0	0	0
"ENSG00000229905"	0	0	0	0	0	0
"ENSG00000237491"	4.57057867614518	4.18481915870593	4.59367591906808	3.76254991822433	2.17179060113426	3.69667796936221
"ENSG00000285268"	0	0	0	0	0	0
"ENSG00000230092"	2.30993063978318	3.19236965640073	2.87034091713362	3.86185219851301	3.37140008672856	4.13492007740654
